TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
992.0396,-13122.27,-10140.56,1954.51,11480.14,-13223.46,-7508.52,-23794.99,-32851.03
992.0796,-13111.64,-10130.5,1956.18,11453.77,-13176.01,-7502.37,-23772.96,-32850.13
992.1196,-13101.29,-10108.9,1978.11,11284.64,-13484.19,-7654.38,-23788.07,-32841.73
992.1596,-13132.67,-10131.6,1972.87,11290.93,-13628.1,-7702.07,-23840.05,-32862.29
992.1996,-13142.78,-10150.0,1960.09,11385.49,-13399.89,-7596.59,-23844.15,-32869.34
992.2396,-13144.78,-10157.78,1946.83,11465.17,-13255.55,-7536.75,-23826.17,-32874.45
992.2796,-13133.91,-10150.39,1943.3,11445.71,-13204.91,-7530.21,-23802.81,-32876.3
992.3196,-13123.37,-10127.83,1960.99,11283.83,-13505.32,-7680.04,-23811.2,-32867.86
992.3596,-13146.83,-10139.04,1956.18,11301.71,-13638.12,-7722.33,-23848.87,-32874.83
992.3996,-13165.43,-10161.35,1934.39,11399.99,-13416.96,-7626.58,-23859.65,-32890.28
992.4396,-13172.49,-10178.33,1922.89,11485.39,-13276.15,-7571.03,-23846.1,-32902.77
992.4796,-13170.29,-10182.0,1925.42,11467.46,-13225.6,-7564.88,-23825.46,-32907.78
992.5196,-13158.75,-10162.21,1945.64,11308.24,-13523.77,-7712.46,-23833.18,-32898.57
992.5596,-13178.64,-10172.03,1939.44,11320.97,-13658.72,-7748.89,-23872.66,-32905.92
992.5996,-13183.79,-10180.52,1926.33,11418.34,-13428.36,-7638.79,-23876.1,-32910.4
992.6396,-13180.35,-10185.05,1922.51,11495.11,-13287.88,-7578.8,-23861.94,-32916.26
992.6796,-13166.48,-10176.95,1928.19,11477.28,-13230.66,-7564.74,-23833.09,-32912.21
992.7196,-13158.85,-10157.44,1953.13,11309.05,-13530.88,-7713.84,-23840.91,-32901.96
992.7596,-13185.79,-10166.93,1940.35,11313.54,-13671.88,-7755.23,-23879.01,-32909.73
992.7996,-13177.68,-10163.5,1936.34,11416.63,-13426.11,-7633.26,-23862.7,-32900.39
992.8396,-13172.01,-10173.37,1930.62,11494.11,-13273.77,-7569.74,-23836.62,-32898.86
992.8796,-13156.27,-10164.36,1936.48,11474.56,-13208.53,-7552.0,-23803.67,-32889.37
992.9196,-13135.24,-10136.65,1961.42,11307.48,-13496.07,-7688.38,-23802.57,-32869.15
992.9596,-13151.55,-10136.8,1963.47,11316.25,-13628.1,-7720.42,-23833.04,-32867.72
992.9996,-13155.56,-10152.06,1942.01,11404.18,-13393.93,-7608.7,-23835.85,-32872.82
993.0396,-13154.08,-10161.88,1934.48,11474.75,-13251.02,-7547.67,-23821.69,-32878.26
993.0796,-13139.06,-10146.48,1947.98,11453.44,-13188.7,-7526.88,-23791.13,-32868.96
993.1196,-13109.83,-10109.38,1978.49,11289.31,-13475.37,-7659.48,-23789.55,-32848.79
993.1596,-13125.95,-10119.15,1980.83,11290.93,-13619.14,-7699.73,-23829.51,-32855.09
993.1996,-13132.0,-10132.12,1968.57,11385.16,-13385.11,-7587.53,-23827.17,-32854.32
993.2396,-13133.0,-10144.28,1953.6,11466.5,-13239.0,-7522.68,-23806.72,-32856.56
993.2796,-13120.89,-10137.27,1955.18,11456.35,-13180.97,-7509.95,-23781.11,-32855.47
993.3196,-13108.3,-10113.62,1974.96,11303.95,-13468.89,-7656.96,-23783.02,-32842.88
993.3596,-13144.02,-10133.84,1951.69,11310.48,-13627.77,-7716.7,-23830.75,-32863.33
993.3996,-13153.55,-10148.53,1931.24,11417.2,-13395.36,-7608.03,-23831.8,-32871.3
993.4396,-13159.8,-10168.12,1917.46,11500.46,-13250.54,-7549.91,-23815.73,-32879.45
993.4796,-13154.6,-10169.7,1916.17,11489.54,-13190.8,-7540.32,-23793.03,-32880.98
993.5196,-13140.49,-10145.43,1941.82,11325.98,-13485.05,-7687.38,-23803.33,-32874.45
993.5596,-13168.62,-10158.59,1947.31,11327.51,-13645.32,-7740.36,-23851.45,-32889.7
993.5996,-13176.82,-10172.8,1934.67,11427.21,-13418.39,-7632.64,-23859.17,-32898.62
993.6396,-13181.5,-10191.01,1921.61,11505.03,-13275.43,-7576.04,-23846.96,-32908.3
993.6796,-13178.45,-10186.05,1921.27,11488.63,-13212.44,-7564.88,-23825.36,-32911.59
993.7196,-13167.38,-10159.49,1941.87,11321.59,-13507.32,-7712.65,-23836.0,-32904.53
993.7596,-13183.93,-10166.41,1947.31,11319.07,-13666.15,-7757.71,-23876.62,-32912.83
993.7996,-13189.41,-10178.28,1932.91,11418.25,-13435.65,-7645.46,-23880.1,-32919.12
